outfit_id,items
1343,2779;1973;378;14603
1344,3188;1587;12397
1345,2083;3424;13889
1347,9277;3738;982
1348,813;8715;16770;15487
1350,11604;1889;15831;9059
1351,3345;17391;354;3122
1352,10553;9072;12522;9059;1375
1353,8358;11755;1473;16938
1354,5020;11726;170;7501
1356,701;17715;14196;14116
1358,1729;13185;9523;8488
1360,16858;527;17701
1361,5601;17518;3629;1433
1362,1417;17141;7313
1363,10467;116;16458;18620;11170
1364,13151;8574;12787;378;17766
1366,1587;3393;3257
1367,18652;3056;6388;1379
1368,987;17416;3629
1369,7728;15396;18255;1292
1371,2656;17012;17581;16951;378
1372,6650;8568;17531;2080;16164
1378,2773;11511;5388;1492
1379,2370;501;10717;16196;12039
1380,436;5548;13609
1383,6890;378;10273;5373
1384,16853;10190;18076;1984
1385,8695;111;19074;17525
1387,9877;9904;13360;9616;1375
1389,17476;937;7974
1390,1590;7294;10532
1392,6043;1389;18348;9321
1393,6663;11416;1380;6052
1395,11352;10149;1186;16224
1397,2659;1417;18787;9072;13002
1399,2271;789;3674
1401,116;18326;3913;14873;9151
1404,443;9072;14352;12971
1405,12234;14760;378;15517;17271
1407,1992;15021;4763
1408,17493;5914;378;4821
1409,17748;14744;1285
1410,2415;827;4039
1411,8058;998;9936
1412,18057;276;14255;4731
1413,11755;1473;16929;13962;8649
1415,2128;7611;13779;6948
1416,10600;18317;1431;14265
1419,16050;4857;1385
1421,4108;3144;1474;14180
1422,15607;15854;308
1426,14398;6873;7979;15308;2099
1429,2030;9996;11112
1431,4618;17810;1105;11302;15712
1433,14889;4235;834;15781
1436,4887;7480;378;4483
1437,17359;13977;16098;3697;952
1439,232;550;6762
1440,450;14083;15228;12706
1442,13387;866;2801;5887;6415
1444,1885;6486;17896
1445,14900;945;18622
1446,2005;13052;5872;3122
1447,9982;1992;12616
1448,1992;18577;8968
1449,18602;13044;13447;378
1450,3595;795;16132;4169
1452,5559;6665;1976
1454,7383;2005;4719;16915
1456,1992;14303;13962;378;18527
1460,17033;116;2870;12962
1461,2701;5101;1375
1463,11049;2067;3667
1468,1004;10359;10782;10845
1469,2650;3543;17914;14423;1546
1470,4143;5632;1693
1471,50;15787;10782;11691;5633
1473,2310;6256;2113
1474,319;16880;3362
1475,11838;11556;1984;15495;12802
1476,984;7628;3629;7622
1477,2383;13251;3703;424;6972
1478,8406;2005;9186;4102
1479,2744;3868;6186;1375
1480,436;12095;11130;6289
1482,11847;15392;276;16172
1484,9707;5177;4677;934
1485,2702;13973;7560;27
1486,19112;63;9371
1488,598;5286;14406;19079
1489,7525;14054;18351;3755;1375
1491,13247;1494;13716
1494,8457;18967;1303
1496,11891;2087;11254
1497,8339;755;8398
1498,2665;6333;12341;3186;2119
1499,1470;15983;15957
1500,13556;851;7122
1502,6760;16158;5376;17376;1292
1503,12565;3408;378;2776
1504,2597;15254;16979;628
1505,1473;7969;13716
1507,17832;7053;1821
1508,1587;11885;378
1510,12952;10926;7927;1442
1511,356;8278;16213;14603
1512,14102;17931;1573
1513,8593;4339;378;10145
1514,12548;11227;1716;11596
1516,6697;11994;1334;15047;3613
1521,3502;16622;378;6899
1522,4109;6508;378;11189
1524,18228;18715;628
1525,1004;3166;18362
1528,13318;5206;1564;16977
1529,297;3856;12273
1532,7176;2093;7327;16425
1533,14013;17684;628;16072
1535,6388;17576;3362;79;9059
1537,15592;16665;15529;1292
1540,17336;1190;5417
1544,2085;14398;5119;16119
1545,751;2751;5994;14673
1546,8333;1677;8312;11218
1547,4693;1134;2947;3113;10394
1550,2212;9273;16120;628;4188
1551,2740;6369;6590;378;3928
1552,2779;11263;378
1554,7541;17281;1879;11597
1556,16133;564;10503
1558,3548;17021;1975
1559,10026;1892;8410;10625;10114
1565,11958;18766;14098;378
1566,2005;17057;3989;5391;7557
1568,7497;14593;2966;1244
1569,7331;1522;13334
1570,10467;10041;10685;11911;340
1572,14524;18565;402
1573,1004;7107;7027;4769
1574,1589;4963;4927
1577,17814;12374;5537;378
1579,2714;11217;1730;15765;11075
1580,2663;5356;116;18109
1581,6273;2039;4707
1582,2210;2437;14939;6995;1375
1583,983;3227;12768
1584,15229;1496;17052;8101
1585,10693;7352;17873;13724;378
1586,500;9765;3654;3833
1593,1004;14939;7686;10484
1595,2939;2089;10798;8631
1598,5547;3014;1967
1604,13922;12893;378;8001
1606,2005;14082;11060
1608,5035;3629;3415;378
1610,2128;18731;3240
1612,1587;16467;6056
1613,18156;4210;378;5618
1614,4642;19094;378;4872
1615,8358;5634;3578;378
1616,15579;8362;1217;6130
1617,16176;14884;1433;8957
1620,16840;1587;11328;7146
1622,1214;3035;4297;8538;12532
1624,13769;3238;1403;18477
1625,14084;16754;15429;628
1626,9489;4941;13951;628;8581
1627,1417;18787;15086
1630,12903;10227;3580;18715;378
1631,7337;10928;628;14359
1632,10492;10424;268
1634,5709;11049;1217;7503
1636,4473;13502;1938
1637,1587;6056;10203
1638,2078;14850;10306;19108;2940
1639,921;9236;11447;3697
1641,1587;15504;378
1643,2526;404;17804
1645,7161;11925;4816;398
1646,11350;15972;6135;2099
1649,7091;14939;9877;1375
1650,15759;9128;378;14359
1651,12932;108;12753
1652,3120;6443;16622;378
1653,3985;1640;13277;9197
1654,11382;8558;2080;16773;6216
1655,17651;701;14221;9344;7552
1656,15383;12592;1665;9535
1657,18613;12950;16305;1249
